   5,            rasm_cmov,       base,    1000,       random_swap_test_u8,     349002428,   2f427c26
   5,            rasm_cmov,       base,    1000,       linear_swap_test_u8,     350755062,   9df829d0
   5,            rasm_cmov,       base,    1000,                 qsort_u32,       9537510,   3999e051
   5,            rasm_cmov,       base,    1000,                 radixsort,       9682362,   c6d2ce51
   5,       rasm_perm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   5,       rasm_perm_cmov,       base,    1000,      random_load_test_u64,      34805166,   8222c97a
   5,       rasm_perm_cmov,       base,    1000,      linear_load_test_u64,      32767180,    dcee904
   5,       rasm_perm_cmov,       base,    1000,     random_store_test_u64,      83312366,   74483ee5
   5,       rasm_perm_cmov,       base,    1000,     linear_store_test_u64,      82309118,   68cc5a06
   5,       rasm_perm_cmov,       base,    1000,    random_load_test_u64x8,     212126632,         a3
   5,       rasm_perm_cmov,       base,    1000,      random_swap_test_u64,     157800624,   cb709f06
   5,       rasm_perm_cmov,       base,    1000,       random_swap_test_u8,     209454724,   2f427c26
   5,       rasm_perm_cmov,       base,    1000,       linear_swap_test_u8,     217455090,   9df829d0
   5,       rasm_perm_cmov,       base,    1000,                 qsort_u32,       6068236,   3999e051
   5,       rasm_perm_cmov,       base,    1000,                 radixsort,       5982244,   c6d2ce51
   5,     rasm_perm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   5,     rasm_perm_indjmp,       base,    1000,      random_load_test_u64,      35771232,   8222c97a
   5,     rasm_perm_indjmp,       base,    1000,      linear_load_test_u64,      33265846,    dcee904
   5,     rasm_perm_indjmp,       base,    1000,     random_store_test_u64,      78004862,   74483ee5
   5,     rasm_perm_indjmp,       base,    1000,     linear_store_test_u64,      36640546,   68cc5a06
   5,     rasm_perm_indjmp,       base,    1000,    random_load_test_u64x8,     212542946,         a3
   5,     rasm_perm_indjmp,       base,    1000,      random_swap_test_u64,     147857016,   cb709f06
   5,     rasm_perm_indjmp,       base,    1000,       random_swap_test_u8,     207018954,   2f427c26
   5,     rasm_perm_indjmp,       base,    1000,       linear_swap_test_u8,     145923284,   9df829d0
   5,     rasm_perm_indjmp,       base,    1000,                 qsort_u32,       5101280,   3999e051
   5,     rasm_perm_indjmp,       base,    1000,                 radixsort,       4765612,   c6d2ce51
   6,          rasm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   6,          rasm_indjmp,       base,    1000,      random_load_test_u64,      73396678,   8222c97a
   6,          rasm_indjmp,       base,    1000,      linear_load_test_u64,      34326452,    dcee904
   6,          rasm_indjmp,       base,    1000,     random_store_test_u64,      77997368,   74483ee5
   6,          rasm_indjmp,       base,    1000,     linear_store_test_u64,      35890450,   68cc5a06
   6,          rasm_indjmp,       base,    1000,    random_load_test_u64x8,     216579236,         a3
   6,          rasm_indjmp,       base,    1000,      random_swap_test_u64,     209448718,   cb709f06
   6,          rasm_indjmp,       base,    1000,       random_swap_test_u8,     242981072,   2f427c26
   6,          rasm_indjmp,       base,    1000,       linear_swap_test_u8,     124636686,   9df829d0
   6,          rasm_indjmp,       base,    1000,                 qsort_u32,       4441252,   3999e051
   6,          rasm_indjmp,       base,    1000,                 radixsort,       3994402,   c6d2ce51
   6,            rasm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   6,            rasm_cmov,       base,    1000,      random_load_test_u64,      83468468,   8222c97a
   6,            rasm_cmov,       base,    1000,      linear_load_test_u64,      82142882,    dcee904
   6,            rasm_cmov,       base,    1000,     random_store_test_u64,      83342690,   74483ee5
   6,            rasm_cmov,       base,    1000,     linear_store_test_u64,      82895940,   68cc5a06
   6,            rasm_cmov,       base,    1000,    random_load_test_u64x8,     486266530,         a3
   6,            rasm_cmov,       base,    1000,      random_swap_test_u64,     234773010,   cb709f06
   6,            rasm_cmov,       base,    1000,       random_swap_test_u8,     355909620,   2f427c26
   6,            rasm_cmov,       base,    1000,       linear_swap_test_u8,     355963564,   9df829d0
   6,            rasm_cmov,       base,    1000,                 qsort_u32,       9527506,   3999e051
   6,            rasm_cmov,       base,    1000,                 radixsort,      10129480,   c6d2ce51
   6,       rasm_perm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   6,       rasm_perm_cmov,       base,    1000,      random_load_test_u64,      35748468,   8222c97a
   6,       rasm_perm_cmov,       base,    1000,      linear_load_test_u64,      33392630,    dcee904
   6,       rasm_perm_cmov,       base,    1000,     random_store_test_u64,      83515666,   74483ee5
   6,       rasm_perm_cmov,       base,    1000,     linear_store_test_u64,      81894464,   68cc5a06
   6,       rasm_perm_cmov,       base,    1000,    random_load_test_u64x8,     212558152,         a3
   6,       rasm_perm_cmov,       base,    1000,      random_swap_test_u64,     156478844,   cb709f06
   6,       rasm_perm_cmov,       base,    1000,       random_swap_test_u8,     210878688,   2f427c26
   6,       rasm_perm_cmov,       base,    1000,       linear_swap_test_u8,     216093222,   9df829d0
   6,       rasm_perm_cmov,       base,    1000,                 qsort_u32,       6094880,   3999e051
   6,       rasm_perm_cmov,       base,    1000,                 radixsort,       6005070,   c6d2ce51
   6,     rasm_perm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   6,     rasm_perm_indjmp,       base,    1000,      random_load_test_u64,      36321634,   8222c97a
   6,     rasm_perm_indjmp,       base,    1000,      linear_load_test_u64,      33454100,    dcee904
   6,     rasm_perm_indjmp,       base,    1000,     random_store_test_u64,      78014692,   74483ee5
   6,     rasm_perm_indjmp,       base,    1000,     linear_store_test_u64,      36556448,   68cc5a06
   6,     rasm_perm_indjmp,       base,    1000,    random_load_test_u64x8,     212551474,         a3
   6,     rasm_perm_indjmp,       base,    1000,      random_swap_test_u64,     147891062,   cb709f06
   6,     rasm_perm_indjmp,       base,    1000,       random_swap_test_u8,     206669020,   2f427c26
   6,     rasm_perm_indjmp,       base,    1000,       linear_swap_test_u8,     145875652,   9df829d0
   6,     rasm_perm_indjmp,       base,    1000,                 qsort_u32,       5097342,   3999e051
   6,     rasm_perm_indjmp,       base,    1000,                 radixsort,       4779980,   c6d2ce51
   7,          rasm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   7,          rasm_indjmp,       base,    1000,      random_load_test_u64,      73830096,   8222c97a
   7,          rasm_indjmp,       base,    1000,      linear_load_test_u64,      35002380,    dcee904
   7,          rasm_indjmp,       base,    1000,     random_store_test_u64,      77981702,   74483ee5
   7,          rasm_indjmp,       base,    1000,     linear_store_test_u64,      36235676,   68cc5a06
   7,          rasm_indjmp,       base,    1000,    random_load_test_u64x8,     219485830,         a3
   7,          rasm_indjmp,       base,    1000,      random_swap_test_u64,     209202350,   cb709f06
   7,          rasm_indjmp,       base,    1000,       random_swap_test_u8,     245197578,   2f427c26
   7,          rasm_indjmp,       base,    1000,       linear_swap_test_u8,     122907464,   9df829d0
   7,          rasm_indjmp,       base,    1000,                 qsort_u32,       4444964,   3999e051
   7,          rasm_indjmp,       base,    1000,                 radixsort,       3976960,   c6d2ce51
   7,            rasm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   7,            rasm_cmov,       base,    1000,      random_load_test_u64,      83186240,   8222c97a
   7,            rasm_cmov,       base,    1000,      linear_load_test_u64,      82063042,    dcee904
   7,            rasm_cmov,       base,    1000,     random_store_test_u64,      83453654,   74483ee5
   7,            rasm_cmov,       base,    1000,     linear_store_test_u64,      82562590,   68cc5a06
   7,            rasm_cmov,       base,    1000,    random_load_test_u64x8,     491463118,         a3
   7,            rasm_cmov,       base,    1000,      random_swap_test_u64,     231017744,   cb709f06
   7,            rasm_cmov,       base,    1000,       random_swap_test_u8,     365132312,   2f427c26
   7,            rasm_cmov,       base,    1000,       linear_swap_test_u8,     363180808,   9df829d0
   7,            rasm_cmov,       base,    1000,                 qsort_u32,       9548826,   3999e051
   7,            rasm_cmov,       base,    1000,                 radixsort,       9718414,   c6d2ce51
   7,       rasm_perm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   7,       rasm_perm_cmov,       base,    1000,      random_load_test_u64,      36104760,   8222c97a
   7,       rasm_perm_cmov,       base,    1000,      linear_load_test_u64,      33698306,    dcee904
   7,       rasm_perm_cmov,       base,    1000,     random_store_test_u64,      83585304,   74483ee5
   7,       rasm_perm_cmov,       base,    1000,     linear_store_test_u64,      82287324,   68cc5a06
