                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                          base,   40960,        all, RESULT,                      hist,      13186522,    ab,        100
                          base,   40960,        all, RESULT,                    matmul,     279223844,    4a,        100
                          base,   40960,        all, RESULT,                 qsort_u32,     317253914,    80,        100
                          base,   40960,        all, RESULT,                 qsort_u64,     146709776,    80,        100
                          base,   40960,        all, RESULT,                 radixsort,     239497156,     0,        100
                          base,   49152,        all, RESULT,             binsearch_u64,         29804,    1f,        100
                          base,   49152,        all, RESULT,                  dijkstra,      33716972,    38,        100
                          base,   49152,        all, RESULT,                      hist,      15921474,    25,        100
                          base,   49152,        all, RESULT,                    matmul,     355756106,    43,        100
                          base,   49152,        all, RESULT,                 qsort_u32,     388045246,    19,        100
                          base,   49152,        all, RESULT,                 qsort_u64,     180081580,    19,        100
                          base,   49152,        all, RESULT,                 radixsort,     290335506,    19,        100
                          base,   57344,        all, RESULT,             binsearch_u64,         22642,    42,        100
                          base,   57344,        all, RESULT,                  dijkstra,      40195086,    a0,        100
                          base,   57344,        all, RESULT,                      hist,      18603100,    ff,        100
                          base,   57344,        all, RESULT,                    matmul,     463747366,    45,        100
                          base,   57344,        all, RESULT,                 qsort_u32,     460078022,    e2,        100
                          base,   57344,        all, RESULT,                 qsort_u64,     212648536,    62,        100
                          base,   57344,        all, RESULT,                 radixsort,     335900238,    62,        100
                           aes,     512,        all, RESULT,             binsearch_u64,         51690,    41,        100
                           aes,     512,        all, RESULT,                  dijkstra,       4584572,    f5,        100
                           aes,     512,        all, RESULT,                      hist,       2603206,    57,        100
                           aes,     512,        all, RESULT,                    matmul,      10751324,    83,        100
                           aes,     512,        all, RESULT,                 qsort_u32,      28077464,    b9,        100
                           aes,     512,        all, RESULT,                 qsort_u64,       9443172,    b9,        100
                           aes,     512,        all, RESULT,                 radixsort,      32853724,    b9,        100
                           aes,     640,        all, RESULT,             binsearch_u64,         56750,    43,        100
                           aes,     640,        all, RESULT,                  dijkstra,       5502888,    d6,        100
                           aes,     640,        all, RESULT,                      hist,       3211474,    cd,        100
                           aes,     640,        all, RESULT,                    matmul,      15934286,    1b,        100
                           aes,     640,        all, RESULT,                 qsort_u32,      36840382,    2d,        100
                           aes,     640,        all, RESULT,                 qsort_u64,      12524082,    ad,        100
                           aes,     640,        all, RESULT,                 radixsort,      41224148,    ad,        100
                           aes,     768,        all, RESULT,             binsearch_u64,         58198,    36,        100
                           aes,     768,        all, RESULT,                  dijkstra,       6455238,    14,        100
                           aes,     768,        all, RESULT,                      hist,       3857718,    83,        100
                           aes,     768,        all, RESULT,                    matmul,      15926636,    81,        100
                           aes,     768,        all, RESULT,                 qsort_u32,      45619676,    b8,        100
                           aes,     768,        all, RESULT,                 qsort_u64,      15513778,    38,        100
                           aes,     768,        all, RESULT,                 radixsort,      49519784,    38,        100
                           aes,     896,        all, RESULT,             binsearch_u64,         60234,    43,        100
                           aes,     896,        all, RESULT,                  dijkstra,       7463748,    a0,        100
                           aes,     896,        all, RESULT,                      hist,       4507764,    57,        100
                           aes,     896,        all, RESULT,                    matmul,      22539724,    71,        100
                           aes,     896,        all, RESULT,                 qsort_u32,      55628878,    45,        100
                           aes,     896,        all, RESULT,                 qsort_u64,      19169192,    c5,        100
                           aes,     896,        all, RESULT,                 radixsort,      57818900,    45,        100
                           aes,    1024,        all, RESULT,             binsearch_u64,         58490,    39,        100
                           aes,    1024,        all, RESULT,                  dijkstra,       8680616,    56,        100
                           aes,    1024,        all, RESULT,                      hist,       5160732,    6e,        100
                           aes,    1024,        all, RESULT,                    matmul,      30738746,    45,        100
                           aes,    1024,        all, RESULT,                 qsort_u32,      65110804,    12,        100
                           aes,    1024,        all, RESULT,                 qsort_u64,      22239586,    12,        100
                           aes,    1024,        all, RESULT,                 radixsort,      66119658,    92,        100
                           aes,    1280,        all, RESULT,             binsearch_u64,         64266,    8d,        100
                           aes,    1280,        all, RESULT,                  dijkstra,      11159026,     0,        100
                           aes,    1280,        all, RESULT,                      hist,       6460400,    83,        100
                           aes,    1280,        all, RESULT,                    matmul,      40733266,    84,        100
                           aes,    1280,        all, RESULT,                 qsort_u32,      83817214,    ed,        100
                           aes,    1280,        all, RESULT,                 qsort_u64,      29363462,    6d,        100
                           aes,    1280,        all, RESULT,                 radixsort,      82784118,    6d,        100
                           aes,    1536,        all, RESULT,             binsearch_u64,         67748,    1e,        100
                           aes,    1536,        all, RESULT,                  dijkstra,      13870548,    2a,        100
                           aes,    1536,        all, RESULT,                      hist,       7755512,    11,        100
                           aes,    1536,        all, RESULT,                    matmul,      52728086,    90,        100
                           aes,    1536,        all, RESULT,                 qsort_u32,     105143386,    25,        100
                           aes,    1536,        all, RESULT,                 qsort_u64,      36596750,    25,        100
                           aes,    1536,        all, RESULT,                 radixsort,      99530330,    25,        100
                           aes,    1792,        all, RESULT,             binsearch_u64,         67600,    57,        100
                           aes,    1792,        all, RESULT,                  dijkstra,      16987282,    66,        100
                           aes,    1792,        all, RESULT,                      hist,       9063790,    36,        100
                           aes,    1792,        all, RESULT,                    matmul,      66847032,    8d,        100
                           aes,    1792,        all, RESULT,                 qsort_u32,     125331608,    9a,        100
                           aes,    1792,        all, RESULT,                 qsort_u64,      44689974,    9a,        100
                           aes,    1792,        all, RESULT,                 radixsort,     116121306,    1a,        100
                           aes,    2048,        all, RESULT,             binsearch_u64,         69246,    f2,        100
                           aes,    2048,        all, RESULT,                  dijkstra,      18790574,    db,        100
                           aes,    2048,        all, RESULT,                      hist,      10373748,    d1,        100
                           aes,    2048,        all, RESULT,                    matmul,      83267434,    6b,        100
                           aes,    2048,        all, RESULT,                 qsort_u32,     148574396,    ea,        100
                           aes,    2048,        all, RESULT,                 qsort_u64,      51810304,    6a,        100
                           aes,    2048,        all, RESULT,                 radixsort,     132721286,    ea,        100
                           aes,    2560,        all, RESULT,             binsearch_u64,         71636,    2d,        100
                           aes,    2560,        all, RESULT,                  dijkstra,      24210408,    e3,        100
                           aes,    2560,        all, RESULT,                      hist,      12957722,    d5,        100
                           aes,    2560,        all, RESULT,                    matmul,     102465148,    f1,        100
                           aes,    2560,        all, RESULT,                 qsort_u32,     195942778,    a5,        100
                           aes,    2560,        all, RESULT,                 qsort_u64,      66482194,    a5,        100
                           aes,    2560,        all, RESULT,                 radixsort,     166044354,    25,        100
                           aes,    3072,        all, RESULT,             binsearch_u64,         74534,    ba,        100
                           aes,    3072,        all, RESULT,                  dijkstra,      28238776,    85,        100
                           aes,    3072,        all, RESULT,                      hist,      15536792,    64,        100
                           aes,    3072,        all, RESULT,                    matmul,     123816438,    7e,        100
                           aes,    3072,        all, RESULT,                 qsort_u32,     238485728,    82,        100
                           aes,    3072,        all, RESULT,                 qsort_u64,      83595728,    82,        100
                           aes,    3072,        all, RESULT,                 radixsort,     199304940,    82,        100
                           aes,    3584,        all, RESULT,             binsearch_u64,         73972,    42,        100
                           aes,    3584,        all, RESULT,                  dijkstra,      32820506,    f5,        100
                           aes,    3584,        all, RESULT,                      hist,      18161650,    14,        100
                           aes,    3584,        all, RESULT,                    matmul,     175719390,    b4,        100
                           aes,    3584,        all, RESULT,                 qsort_u32,     283468828,    52,        100
                           aes,    3584,        all, RESULT,                 qsort_u64,     100915920,    52,        100
                           aes,    3584,        all, RESULT,                 radixsort,     232865968,    d2,        100
                           aes,    4096,        all, RESULT,             binsearch_u64,         76398,    a0,        100
                           aes,    4096,        all, RESULT,                  dijkstra,      37325714,    d0,        100
                           aes,    4096,        all, RESULT,                      hist,      20761136,    98,        100
                           aes,    4096,        all, RESULT,                    matmul,     206349960,    f3,        100
                           aes,    4096,        all, RESULT,                 qsort_u32,     335024238,    33,        100
                           aes,    4096,        all, RESULT,                 qsort_u64,     117065634,    b3,        100
                           aes,    4096,        all, RESULT,                 radixsort,     266072590,    33,        100
                           aes,    5120,        all, RESULT,             binsearch_u64,         82588,    5c,        100
                           aes,    5120,        all, RESULT,                  dijkstra,      47698874,    b5,        100
                           aes,    5120,        all, RESULT,                      hist,      25978452,    91,        100
                           aes,    5120,        all, RESULT,                    matmul,     278047574,    8a,        100
                           aes,    5120,        all, RESULT,                 qsort_u32,     436386592,    53,        100
                           aes,    5120,        all, RESULT,                 qsort_u64,     154385478,    53,        100
                           aes,    5120,        all, RESULT,                 radixsort,     332426982,    d3,        100
                           aes,    6144,        all, RESULT,             binsearch_u64,         84678,    34,        100
                           aes,    6144,        all, RESULT,                  dijkstra,      59426008,    71,        100
                           aes,    6144,        all, RESULT,                      hist,      31158520,    cd,        100
                           aes,    6144,        all, RESULT,                    matmul,     364702868,     f,        100
                           aes,    6144,        all, RESULT,                 qsort_u32,     536108660,    69,        100
                           aes,    6144,        all, RESULT,                 qsort_u64,     190562650,    69,        100
                           aes,    6144,        all, RESULT,                 radixsort,     398974536,    e9,        100
                           aes,    7168,        all, RESULT,             binsearch_u64,         86406,    c8,        100
                           aes,    7168,        all, RESULT,                  dijkstra,      68938662,    51,        100
                           aes,    7168,        all, RESULT,                      hist,      36434628,    a3,        100
                           aes,    7168,        all, RESULT,                    matmul,     467357972,     3,        100
                           aes,    7168,        all, RESULT,                 qsort_u32,     647804444,     3,        100
                           aes,    7168,        all, RESULT,                 qsort_u64,     226819626,    83,        100
                           aes,    7168,        all, RESULT,                 radixsort,     467288386,     3,        100
                           aes,    8192,        all, RESULT,             binsearch_u64,         85058,    e8,        100
                           aes,    8192,        all, RESULT,                  dijkstra,      79256476,    64,        100
                           aes,    8192,        all, RESULT,                      hist,      41548358,     7,        100
                           aes,    8192,        all, RESULT,                    matmul,     588080564,    6a,        100
                           aes,    8192,        all, RESULT,                 qsort_u32,     747486390,    57,        100
                           aes,    8192,        all, RESULT,                 qsort_u64,     264901586,    57,        100
